"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"826",2.5,7,100,100,97.5,93
"827",1.5,1.5,100,100,98.5,98.5
"828",3,0,100,100,97,100
"829",0,13.5,100,100,100,86.5
"830",13,0,100,100,87,100
"831",0,3.5,100,100,100,96.5
"832",0,0,100,100,100,100
"833",0.5,3,100,100,99.5,97
"834",1.5,12,100,100,98.5,88
"835",1,0,100,100,99,100
"836",38,0,100,100,62,100
"837",6,4,100,100,94,96
"838",0,0.5,100,100,100,99.5
"839",0,0,100,100,100,100
"840",0,12,100,100,100,88
"841",2,1.5,100,100,98,98.5
"842",0.5,1,100,100,99.5,99
"843",0.5,0,100,100,99.5,100
"844",2.5,0.5,100,100,97.5,99.5
"845",2.5,2.5,100,100,97.5,97.5
"846",3.5,0,100,100,96.5,100
"847",0,6.5,100,100,100,93.5
"848",0.5,22,100,100,99.5,78
"849",0,2,100,100,100,98
"850",0,0,100,100,100,100
"851",0,1.5,100,100,100,98.5
"852",7,4.5,100,100,93,95.5
"853",0.5,4,100,100,99.5,96
"854",0.5,1.5,100,100,99.5,98.5
"855",0,0,100,100,100,100
"856",0,0.5,100,100,100,99.5
"857",0,0.5,100,100,100,99.5
"858",3.5,4.5,100,100,96.5,95.5
"859",11,5.5,99.5,99.5,88.5,94
"860",0,1,100,100,100,99
"861",0,2.5,100,100,100,97.5
"862",0,0,100,100,100,100
"863",0.5,1.5,100,100,99.5,98.5
"864",0,0,100,100,100,100
"865",0,0,100,100,100,100
"866",0,2.5,100,100,100,97.5
"867",5.5,0.5,100,100,94.5,99.5
"868",0,0.5,100,100,100,99.5
"869",0.5,0,100,100,99.5,100
"870",2.5,3.5,100,100,97.5,96.5
"871",0,0,100,100,100,100
"872",5.5,0,100,100,94.5,100
"873",7.5,2.5,100,100,92.5,97.5
"874",0,6,100,100,100,94
"875",6.5,1,100,100,93.5,99
"876",0,0.5,100,100,100,99.5
"877",3,1.5,100,100,97,98.5
"878",6.5,0,99.5,99.5,93,99.5
"879",3,0.5,100,100,97,99.5
"880",0,1.5,100,100,100,98.5
"881",0,0,100,100,100,100
"882",6.5,3.5,100,100,93.5,96.5
"883",0.5,0,100,100,99.5,100
"884",11,0,100,100,89,100
"885",0,1.5,100,100,100,98.5
"886",1.5,0,100,100,98.5,100
