"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"720",3,0,82,81,79,81
"721",15,9,60,60,45,51
"722",0,10,69,68,69,58
"723",0,2,91,92,91,90
"724",0,0,73,74,73,74
"725",0,1,77,78,77,77
"726",0,8,76,75,76,67
"727",0,1,70,70,70,69
"728",7,3,75,74,68,71
"729",0,2,70,72,70,70
"730",10,4,89,87,79,83
"731",0,1,73,72,73,71
"732",4,0,75,75,71,75
"733",0,2,93,92,93,90
"734",13,0,78,78,65,78
"735",0,15,58,57,58,42
"736",2,2,66,66,64,64
"737",0,0,67,68,67,68
"738",0,2,93,93,93,91
"739",0,5,72,73,72,68
"740",1,1,70,70,69,69
"741",0,1,69,68,69,67
"742",2,5,76,76,74,71
"743",1,0,72,71,71,71
"744",0,3,70,70,70,67
"745",0,10,77,77,77,67
"746",0,0,70,71,70,71
"747",0,0,68,68,68,68
"748",0,0,83,81,83,81
"749",0,0,75,75,75,75
"750",0,0,78,78,78,78
"751",0,10,84,84,84,74
"752",0,3,73,74,73,71
"753",0,0,78,79,78,79
"754",0,2,77,77,77,75
"755",0,1,82,82,82,81
"756",11,0,85,86,74,86
"757",12,0,70,70,58,70
"758",0,1,87,87,87,86
"759",0,0,79,79,79,79
"760",1,0,87,87,86,87
"761",0,10,67,69,67,59
"762",3,21,72,74,69,53
"763",0,4,76,76,76,72
"764",2,4,75,75,73,71
"765",0,2,79,79,79,77
"766",0,1,82,81,82,80
"767",1,18,74,74,73,56
"768",31,1,77,78,46,77
"769",0,0,75,74,75,74
"770",0,0,83,82,83,82
"771",0,5,67,67,67,62
"772",3,0,77,77,74,77
"773",0,0,88,88,88,88
"774",0,2,93,94,93,92
"775",2,0,67,68,65,68
"776",0,2,77,77,77,75
"777",3,5,80,80,77,75
"778",1,0,96,95,95,95
"779",0,0,93,94,93,94
"780",0,0,88,87,88,87
"781",3,12,73,73,70,61
"782",1,1,62,60,61,59
"783",0,0,80,80,80,80
"784",0,3,76,78,76,75
"785",0,1,82,81,82,80
"786",0,16,89,90,89,74
"787",4,1,69,69,65,68
"788",0,2,79,80,79,78
"789",0,0,93,93,93,93
"790",0,0,69,69,69,69
"791",0,0,86,83,86,83
"792",1,13,75,75,74,62
"793",0,0,68,68,68,68
"794",1,0,71,70,70,70
"795",0,0,66,67,66,67
"796",0,0,69,65,69,65
"797",0,0,86,86,86,86
"798",0,1,77,75,77,74
"799",0,0,91,91,91,91
"800",6,0,80,79,74,79
"801",0,1,92,94,92,93
"802",1,0,71,67,70,67
"803",0,0,60,60,60,60
"804",4,5,75,77,71,72
"805",0,13,68,68,68,55
"806",0,0,70,72,70,72
"807",0,0,75,77,75,77
"808",0,1,74,75,74,74
"809",0,2,80,81,80,79
"810",1,2,69,70,68,68
"811",1,13,69,69,68,56
"812",4,4,79,77,75,73
"813",0,1,63,63,63,62
"814",0,0,73,72,73,72
"815",0,0,53,54,53,54
"816",10,0,58,58,48,58
"817",0,14,76,75,76,61
"818",1,1,66,66,65,65
"819",0,0,84,84,84,84
"820",0,0,88,89,88,89
"821",6,5,59,60,53,55
"822",0,0,89,86,89,86
"823",0,0,62,60,62,60
"824",17,0,65,67,48,67
"825",3,1,66,67,63,66
"826",0,0,71,70,71,70
"827",0,0,72,73,72,73
"828",0,1,93,91,93,90
"829",0,6,71,71,71,65
"830",0,0,78,79,78,79
"831",4,0,87,87,83,87
"832",0,1,79,76,79,75
"833",0,9,72,71,72,62
"834",2,2,75,75,73,73
"835",0,7,79,79,79,72
"836",0,0,83,83,83,83
"837",1,13,83,83,82,70
"838",0,2,80,78,80,76
"839",5,0,77,78,72,78
"840",11,20,79,80,68,60
"841",8,0,72,72,64,72
"842",0,0,83,84,83,84
"843",0,1,87,86,87,85
"844",3,5,74,73,71,68
"845",14,2,93,92,79,90
"846",0,3,79,79,79,76
"847",1,4,85,86,84,82
"848",1,5,73,73,72,68
"849",0,0,86,85,86,85
"850",0,2,68,66,68,64
"851",1,5,69,70,68,65
"852",2,0,87,87,85,87
"853",10,3,69,68,59,65
"854",3,6,87,86,84,80
"855",0,0,86,85,86,85
"856",1,0,81,80,80,80
"857",1,0,78,78,77,78
